Code Domaine;Domaine;Code zone;Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1961;1961;ha;1418000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1962;1962;ha;1414000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1963;1963;ha;1408000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1964;1964;ha;1401000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1965;1965;ha;1396000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1966;1966;ha;1383773;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1967;1967;ha;1379811;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1968;1968;ha;1363009;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1969;1969;ha;1258400;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1970;1970;ha;1238400;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1971;1971;ha;1219300;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1972;1972;ha;1215200;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1973;1973;ha;1220600;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1974;1974;ha;1218600;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1975;1975;ha;1194100;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1976;1976;ha;1226400;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1977;1977;ha;1203900;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1978;1978;ha;1176600;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1979;1979;ha;1166000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1980;1980;ha;1113800;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1981;1981;ha;1083000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1982;1982;ha;1069200;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1983;1983;ha;1049700;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1984;1984;ha;1032200;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;1985;1985;ha;1020400;A;Chiffre officiel
