Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit (CPC);Produit;Code année;Année;Code Mois;Mois;Unité;Valeur;Symbole;Description du Symbole
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1991;1991;7021;Valeur annuel;SLC;1060.9;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1992;1992;7021;Valeur annuel;SLC;704.9;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1993;1993;7021;Valeur annuel;SLC;748.5;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1994;1994;7021;Valeur annuel;SLC;927.8;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1995;1995;7021;Valeur annuel;SLC;873.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1996;1996;7021;Valeur annuel;SLC;771.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1997;1997;7021;Valeur annuel;SLC;1313.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1998;1998;7021;Valeur annuel;SLC;1415.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;1999;1999;7021;Valeur annuel;SLC;1361.2;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2000;2000;7021;Valeur annuel;SLC;1437.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2001;2001;7021;Valeur annuel;SLC;1218.5;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2002;2002;7021;Valeur annuel;SLC;1415.2;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2003;2003;7021;Valeur annuel;SLC;1248.9;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2004;2004;7021;Valeur annuel;SLC;1006.2;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2005;2005;7021;Valeur annuel;SLC;1049.8;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2006;2006;7021;Valeur annuel;SLC;1211.9;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2007;2007;7021;Valeur annuel;SLC;1256;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2008;2008;7021;Valeur annuel;SLC;1186.2;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2009;2009;7021;Valeur annuel;SLC;1167.6;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2010;2010;7021;Valeur annuel;SLC;1174.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2011;2011;7021;Valeur annuel;SLC;1363.5;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2012;2012;7021;Valeur annuel;SLC;1332.9;A;Chiffre officiel
PP;Prix à la Production;250;France;5531;Prix à la Production (SLC/tonne);1330;Raisins;2013;2013;7021;Valeur annuel;SLC;1616.2;A;Chiffre officiel
