Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit (CPC);Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1991;1991;1000 SLC;5798352;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1992;1992;1000 SLC;5635799;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1993;1993;1000 SLC;4982929;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1994;1994;1000 SLC;6443975;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1995;1995;1000 SLC;6297406;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1996;1996;1000 SLC;5952722;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1997;1997;1000 SLC;9442183;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1998;1998;1000 SLC;9792918;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;1999;1999;1000 SLC;10944786;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2000;2000;1000 SLC;11157786;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2001;2001;1000 SLC;8804168;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2002;2002;1000 SLC;9699048;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2003;2003;1000 SLC;7876952;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2004;2004;1000 SLC;7611804;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2005;2005;1000 SLC;7128368;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2006;2006;1000 SLC;8212901;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2007;2007;1000 SLC;7559934;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2008;2008;1000 SLC;7140188;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2009;2009;1000 SLC;7123943;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2010;2010;1000 SLC;6919366;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2011;2011;1000 SLC;9055043;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2012;2012;1000 SLC;7177297;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2013;2013;1000 SLC;8955098;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2014;2014;1000 SLC;10522285;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2015;2015;1000 SLC;11803273;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2016;2016;1000 SLC;12521541;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2017;2017;1000 SLC;10873486;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2018;2018;1000 SLC;14463239;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2019;2019;1000 SLC;12178075;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;56;Produit Brut (mille MC);1330;Raisins;2020;2020;1000 SLC;14732641;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;1991;1991;1000 US$;6741485;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;1992;1992;1000 US$;6983642;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;1993;1993;1000 US$;5771286;E;Valeur estimée
